,Page,Members,Message,Date,Interactions
0,Kevin Roose,"87,946 Followers","Wrote about a morbid thought I've been having lately, watching the spread of anti-vaxx propaganda like Plandemic. What if we develop a successful Covid-19 vaccine and a huge chunk of the population just...refuses to take it? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",1749
1,André Picard,"107,350 Followers","Get Ready for a Vaccine Information War: Social media is already filling up with misinformation about a #Covid19 vaccine, months or years before one even exists, by @kevinroose https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share via @nytimes #antivax #vaccination","May 13, 2020",240
2,León Krauze,"1,450,674 Followers",Los criminales anti-vacunas ya comenzaron su esfuerzo de desinformación contra una vacuna para el Covid...vacuna que aún no existe!!!! Es increíble. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=nytcore-ios-share via @NYTimes,"May 13, 2020",148
3,Taylor Lorenz,"140,525 Followers",Absolutely essential reading from @kevinroose https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",69
4,Davey Alba,"16,710 Followers","""What if we get a Covid-19 vaccine and half the country refuses to take it?"" @kevinroose with essential reading on the all but inevitable vaccine information wars https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",57
5,Oliver Darcy,"121,732 Followers","""This war could pit public health officials and politicians against an anti-vaccination movement that floods social media with misinformation, conspiracy theories and propaganda aimed at convincing people that the vaccine is a menace..."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",56
6,Peter Grinspoon MD -- idealist...,"17,408 Followers","What if we get a Covid-19 vaccine and half the country refuses to take it? Can we ban them from schools, hospitals, stores, libraries, streets, etc? Can they have their own planet to die on? #medtwitter https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",50
7,Jesse Lehrich,"49,623 Followers",really smart piece from @kevinroose on preparing for the high-stakes information war that will be waged against an eventual coronavirus vaccine: https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",27
8,Sheryl Gay Stolberg,"29,531 Followers",What if we get a Covid-19 vaccine and half the country refuses to take it? @kevinroose on how the anti-vaxxers are gearing up. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",27
9,Antonio N Leite,"11,967 Followers","Sobre o perigo de uma parte importante da população americana (e europeia) se recusar a tomar uma vacina contra o Covid 19, se e quando houver uma. Não é farfetched, infelizmente https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",26
10,Mario Aguilar,"5,560 Followers","Yes, it’s already possible to have nightmares about 2021. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html https://t.co/ptYlRrYS2O","May 13, 2020",24
11,Taylor Lorenz,"140,525 Followers","""The researchers found that anti-vaccine FB pages treated vaccine resistance as a kind of political campaign, and used different messages to reach different types of undecided 'voters.'"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",24
12,Arthur Caplan,"11,862 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",15
13,Jay Van Bavel,"23,157 Followers","What if the anti-vaccination movement floods social media with misinformation, conspiracy theories and propaganda aimed at convincing people that the vaccine is a menace rather than a lifesaving, economy-rescuing miracle? This is a very real concern. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",14
14,Taylor Lorenz,"140,525 Followers","""A page promoting holistic health remedies might start seeding doubts about vaccines among liberal yoga moms, while a page promoting resistance to government-mandated vaccines might appeal to conservatives and libertarians."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",14
15,𝐏𝐚𝐨𝐥𝐚 𝐂𝐮𝐛𝐢𝐥𝐥𝐨𝐬 𝐌...,"6,324 Followers","“To recover from this pandemic, we need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents” https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",13
16,Elaine Reddy,"8,054 Followers",This is a huge concern of mine living in Boulder. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",11
17,Nic #VetsResist🇺🇸🏳️‍🌈 #Ima...,"16,165 Followers",What if we had a vaccine & misinformation (& anti-vaxers) caused 1/2 the US to refuse to take it Get Ready for a Vaccine Information War https://nyti.ms/3fKbHXz,"May 13, 2020",9
18,Joshua Safran,"12,206 Followers",Scariest article read this week by far. Retweeting this for anyone who is anti-vax that might follow me. Though I hope that number is low. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",9
19,Center for Inquiry,"55,485 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",8
20,Dr. Katy Pearce,"7,824 Followers",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",7
21,Dr. Alison Bateman-House,"3,676 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",7
22,Ben Kline,"11,624 Followers","Honestly, I still can't fathom the end game of anti-vaxxers. What is their actual goal or hoped for outcome? Mass population reduction? Needless suffering? Blissing on ignorance? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",7
23,Liz Ryan,"54,033 Followers",Get Ready for a Vaccine Information War - The New York Times https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",7
24,Dr. mem_somerville | Wossamott...,"6,095 Followers","“We found a real struggle online, where the public health establishment and its supporters are almost fighting in the wrong place.” #scicomm https://nyti.ms/2Aq0ag6","May 13, 2020",6
25,Liz Szabo,"66,204 Followers","Anti-vax evangelism at work. ""Researchers found that Facebook pages pushing accurate pro-vaccine information were mostly clustered in an insular group, while the anti-vaccine pages treated vaccine resistance as a kind of political campaign"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",5
26,Laura M. Tilghman,322 Followers,"⚠️Important read b/c 1) anti-vax folks are increasingly part of protests against stay-at-home orders 2) people are counting on a vaccine to bring things ""back to normal"" as early as spring 2021 semester Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",5
27,V R Shriver #ImpeachTrump 🍑,342 Followers,If we could be sure that the virus would only attack people who refuse the vaccination.... https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",4
28,Adam Ratner MD MPH,"3,387 Followers",Get Ready for a #COVID19 #Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",4
29,Asher Huey,"6,986 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4
30,Mary Ann Barbero,"6,779 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4
31,John Ryerson,"2,733 Followers",Get Ready for a Vaccine Information War #Twitter #Facebook need to shut down anti vaxxer #disinformation and we need to not give them air as if it is a viablle balanced story #cdnmedia #cdnpoli https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4
32,Liz Szabo,"66,204 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",3
33,The Raven of Wroclaw,"1,602 Followers",yes ok a pro vaccine movement but also? unless you have proof of vaccination and regular titer tests (assuming both exist and are good) you can't work you can't take part in public life this is one of the few occasions in which I am pro-jackboot ok https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?,"May 13, 2020",3
34,Miguel Ortiz,542 Followers,Get Ready for a Vaccine Information War https://nyti.ms/3fKbHXz,"May 13, 2020",3
35,"Jessica Malaty Rivera, MS","1,457 Followers","“We need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents. We need to do it quickly..” #VaccinesWork https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",3
36,Méta-Media FranceTV,"13,735 Followers","⭐⭐ Sur les réseaux, des fausses informations sur un vaccin Covid-19 se propagent avant même qu'il n'existe 📱💉🤥 #désinformation #plateformes https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",3
37,Andrew M. Lindner,"1,341 Followers","Look, I'll stay in my house as long as you want. Just don't bring this anti-vax, anti-science, YouTube conspiracy theory bullshit into my feed. Good piece in the NYT on this particular brand idiocy: https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html https://t.co/rJtppK8K7V","May 13, 2020",3
38,David Tindall,"2,811 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share @RMCarpiano @davidsmeyer1 @somardrawoh @johnmclevey,"May 13, 2020",3
39,Eric Klinenberg,"15,472 Followers","""What if we get a Covid-19 vaccine and half the country refuses to take it?"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",3
40,Gonçalo Cruz,"20,387 Followers","""Get Ready for a Vaccine Information War"" by BY KEVIN ROOSE via NYT New York Times https://ift.tt/2Z09HEE","May 13, 2020",3
41,🇨🇱🐕 Selfieton... UPETSCl 🇨...,"12,668 Followers","@jenizaro11 Prepárese para una guerra de información erróneas sobre vacunas contra la Pandemia de Convid-19 Las redes sociales-RRSS, ya se están llenando de información errónea sobre una vacuna Covid-19, meses o años antes de que exista. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/LwGAiBweX5","May 13, 2020",2
42,Carol Ross Joynt,"3,580 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",2
43,basiapuszkar,626 Followers,"Astonishing. In an age where science has given us longer, healthier life, scientific principles and methods, technology, tools to research and become ever more knowledgeable, some long for an era of superstition: throwing chicken bones, burning 'witches'. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",2
44,Hunter Crowther,"1,095 Followers","'Millions of lives and trillions of dollars in economic activity may depend not just on producing a vaccine, but on persuading people to accept it.' https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",2
45,"Ani Shakarishvili,MD","5,283 Followers","Get Ready for a #Vaccine Information War: #Socialmedia is already filling up with misinformation about a #Covid19 vaccine, months or years before one even exists #coronavirus #vaccination #antivax https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html v @nytimes HT @picardonhealth","May 13, 2020",2
46,Anderson Röhe,331 Followers,Get Ready for a Vaccine Information War - The New York Times https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",2
47,Joan Barata,"1,540 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",2
48,Jorge Gobbi,"12,274 Followers",¿Que pasaría si se logra desarrollar una vacuna para el Covid-19 y una parte significativa de la población se niega a usarla? Los desafíos a la salud pública por parte del movimiento antivacunas https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",2
49,Bunk,59 Followers,The anti-vaccination movement has been waiting for their moment. That moment has come and it couldn't be a more monumentally dangerous time for their message and misinformation to spread. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",2
50,Lynn,680 Followers,"Get Ready for a Vaccine Information War - Millions of lives and trillions of dollars in economic activity may depend not just on producing a vaccine, but on persuading people to accept it. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",2
51,Evan DeSimone,"4,092 Followers","Public health officials will need a much more aggressive media strategy ahead of any vaccine, and it needs to start now. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",2
52,GW Media Relations,"2,259 Followers",Coverage of the new research in @nytimes via @kevinroose: https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",2
53,Shower Cap,"1,491 Followers","Oh, there’s so much fun yet to come. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",2
54,Yonatan Lupu,"1,306 Followers",More on this from NYT https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",2
55,erin mccann |,"16,815 Followers",this is fine dot gif https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",2
56,Barney Blather,"3,733 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",1
57,"Zeina Moukarzel, MD,MPH,MHA #S...","1,755 Followers","Even before a vaccine for #COVID19, #antivax campaigns. What if people refuse to get vaccinated once it is there? #VaccinesWork #MedTwitter #healthcare via @nytimes #كورونا #coronavirus https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",1
58,Scott Greenberger,"1,295 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",1
59,Anesa Miller,"10,546 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",1
60,Kevin Collison,"3,757 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",1
61,🇨🇱🐕 Selfieton... UPETSCl 🇨...,"12,668 Followers","Las RRSS están generando información errónea sobre una vacuna COVID-19, a años antes de que exista. ""Los anti-vaxxers han estado practicando para esto"", escribe @kevinroose. ""Y me preocupa que sean inusualmente efectivos"". https://nyti.ms/360296C https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/LwGAiBweX5","May 13, 2020",1
62,🇨🇱🐕 Selfieton... UPETSCl 🇨...,"12,668 Followers","Prepárese para una guerra de información erróneas sobre vacunas contra la Pandemia delel Convid-19. Las redes sociales-RRSS, ya se están llenando de información errónea sobre una vacuna Covid-19, meses o años antes de que exista. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/LwGAiBweX5","May 13, 2020",1
63,CA IZ Coalition,"1,990 Followers","‘In short, the anti-vaxxers have been practicing for this.’ Yes, yes they have @kevinroose Social media platforms need to step up and stop facilitating misinfo and public health advocates need to do more/better too Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",1
64,Sarah Mooney,179 Followers,"There's plenty of reason to believe this could be quite prescient writing - 'Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists.' https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",1
65,TCS Europe,148 Followers,"#MakeBiz #Tech ""Get Ready for a Vaccine Information War"" by @NYTimes https://ift.tt/2Z09HEE https://t.co/89jU2J21Hr","May 13, 2020",1
66,NewYork Times Tech,"2,650 Followers","Get Ready for a Vaccine Information War May 13, 2020 at 07:30PM Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. https://ift.tt/2T3Sg2j https://ift.tt/2Z09HEE https://t.co/4gRbF9y0wm","May 13, 2020",1
67,Jason Kries,"8,159 Followers","""Get Ready for a Vaccine Information War"" via NYT https://ift.tt/2Z09HEE #tech","May 13, 2020",1
68,Mx. Brian Latimer,"4,357 Followers",Read this to get a better understanding of vaccine misinformation and how it may take hold. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",1
