,Page,Members,Message,Date,Interactions
0,The New York Times,"17,252,652 Page Likes","Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. ""The anti-vaxxers have been practicing for this,"" writes Kevin Roose. ""And I’m worried that they will be unusually effective.""","May 13, 2020",4755
1,We Love GMOs and Vaccines,"231,038 Page Likes",We’ve been warning about this for 6 years...,"May 13, 2020",473
2,Global Conversations,"333,668 Page Likes",Anti-Vaxx activists are already railing against a possible Covid-19 vaccine. Conspiracies flood internet.,"May 13, 2020",83
3,March for Science - Seattle,"12,572 Members",Get ready.,"May 13, 2020",66
4,Nurses Who Vaccinate,"12,752 Page Likes","To recover from this pandemic, we need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents. We need to do it quickly, with all the creativity and urgency of the scientists who are developing the vaccine itself. Millions of lives and trillions of dollars in economic activity may depend not just on producing a vaccine, but on persuading people to accept it.","May 13, 2020",53
5,Center for Inquiry,"56,885 Page Likes",,"May 13, 2020",41
6,Kristian Claus,"11,649 Page Likes",Anti-vaxxers have gotten so effective at pushing misinformation that scientists are now concerned when a Covid-19 vaccine does come out many will simply refuse to take it.,"May 13, 2020",41
7,LIVE UPDATE Coronavirus covid-...,"7,840 Members",Get ready for the antivaxers and pray we actually do develop a vaccine.,"May 13, 2020",32
8,Vaccines save lives,"4,587 Members",,"May 13, 2020",16
9,Michiganders Against Trump,"2,332 Page Likes",,"May 13, 2020",15
10,"No Donald Trump, Just no.","53,573 Page Likes",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?referringSource=articleShare&fbclid=IwAR3m_TNqjchgzua-N_TSe0nX3qgrwI_Dv_b91kor3fH5OwCR-H0qx8qjHhk,"May 13, 2020",14
11,"Happens in Enderby, stays...","5,245 Members",hopefully the moronic anti-vaxxers will die off soon.,"May 13, 2020",8
12,Voices Against Trump,"1,253 Members",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",6
13,The Allied Forces,891 Members,Read this. Thanks Joohn. #TheAlliedForces,"May 13, 2020",6
14,Dr. Anthony Fauci Fan Club,"114,797 Members",,"May 13, 2020",3
15,Malcolm Nance Fans,"10,196 Members",,"May 13, 2020",3
16,BJ Leiderman,"6,737 Page Likes",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?referringSource=articleShare,"May 13, 2020",3
17,Η ΑΛΗΘΕΙΑ ΓΙΑ ΤΑ ΕΜΒΟΛΙΑ,"9,175 Members",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=fb-share,"May 13, 2020",3
18,Critical Coronavirus News and ...,341 Members,,"May 13, 2020",2
19,Dan Satterfield,"48,652 Page Likes",Marvelous... https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?action=click&module=Spotlight&pgtype=Homepage,"May 13, 2020",1
20,Current Status,"1,524 Members",Get Ready for a Vaccine Information War,"May 13, 2020",1
21,Tech Insider Authority,549 Page Likes,"Get Ready for a Vaccine Information War Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. Technology","May 13, 2020",0
