,Page,Members,Message,Date,Interactions
0,Allen Ray 'Rona Ate My Cat,"4,954 Followers","Listen to this @NPR interview and think about all of the ""misinformation"" that turned out to be completely true, and the mainstream media's ""truth"" that turned out to be a blatant lie. This should chill you to the bone.... #WakeUp https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook","May 13, 2020",30
1,NPR Science Desk,"248,541 Followers",A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_source=dlvr.it&utm_medium=twitter,"May 13, 2020",6
2,All Tech Considered,"36,101 Followers",A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_source=dlvr.it&utm_medium=twitter,"May 13, 2020",5
3,René F. Najera,"2,992 Followers",New story on #NPR: A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://ift.tt/2zwtHEu,"May 13, 2020",3
4,Call Paul's Boutique,"2,731 Followers","Essentially, info about origins, treatments, vaccines, yadda... targeting undecided folks who fall into the *Communities of Distrust pile of fringe fuqqs. U may think u hanging in Dog Community, but vaxx w come up in that group. Listen 2 NPR piece. https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook","May 14, 2020",2
5,Julie Cantor,799 Followers,@beccalew @womenindisinfo @npratc @politico This is the piece. Reference is article in @nature. https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook,"May 14, 2020",1
6,Jenny,12 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social,"May 13, 2020",1
7,Refk SELMI,76 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social,"May 14, 2020",0
8,Health Watch,"3,083 Followers",Via @NPRHealth: A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social @CaulfieldTim @picardonhealth @carlyweeks @sharon_kirkey @theresaboyle @VikCBC @FriendsOfSciMed @SocietyforSBM @AustSkeptics @StanKutcher,"May 14, 2020",0
9,Tech News,370 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_medium=RSS&utm_campaign=technology,"May 14, 2020",0
10,I Love Public Health,"1,663 Followers",New story on NPR: A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://ift.tt/2zwtHEu,"May 14, 2020",0
11,► Fernando Seijo,931 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://ift.tt/2WtfeSJ,"May 14, 2020",0
