,Page,Members,Message,Date,Interactions
0,The New York Times,"17,252,652 Page Likes","Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. ""The anti-vaxxers have been practicing for this,"" writes Kevin Roose. ""And I’m worried that they will be unusually effective.""","May 13, 2020",5520
1,MoveOn,"1,654,167 Page Likes",A strange conflux of anti-vaxxers and reactionary conspiracy theorists is already spreading baseless lies about a COVID19 vaccine — more than a year before we can even expect one.,"May 14, 2020",1438
2,We Love GMOs and Vaccines,"231,038 Page Likes",We’ve been warning about this for 6 years...,"May 13, 2020",811
3,Dr. Richard Pan,"14,634 Page Likes","""[Anti-vaxxers] are savvy media manipulators, effective communicators and experienced at exploiting the weaknesses of social media platforms.... public acceptance of a #Covid19 vaccine is far from a sure thing. And seeing platforms like Facebook and YouTube struggle to contain the spread of videos like 'Plandemic' makes me worry that when the time comes to persuade billions of people to take a critical coronavirus vaccine, our public health officials and social media companies will be outgunned by a well-oiled anti-vaccine movement that has already polluted the air with misinformation and conspiracy theories. We can prevent that, but only if we start laying the groundwork before it’s too late."" #coronavirus #pandemic #Science #VaccinesWork #Ivax2protect #Resist #AlternativeFacts Vaccinate California Vaccinate Your Family Voices for Vaccines California Immunization Coalitionzation","May 13, 2020",415
4,Global Conversations,"333,668 Page Likes",Anti-Vaxx activists are already railing against a possible Covid-19 vaccine. Conspiracies flood internet.,"May 13, 2020",275
5,Kissing Fish Book,"312,872 Page Likes","“Anti-vaxers have already fueled a resurgence in once-eradicated or diminished disease across the world. Now they stand ready to build resistance against a developing vaccine against COVID-19, even as the global pandemic has caused nearly 297,000 deaths so far.“","May 14, 2020",198
6,March for Science - Seattle,"12,572 Members",Get ready.,"May 13, 2020",107
7,Paying Till It Hurts,"8,983 Members","Everything that costs healthcare ""consumers"" money is relevant to this page. If a good vaccine becomes available, and disinformation prevents people from vaccinating against a disease few are immune to, then we will all pay dearly--with our money and our health. Please remember that this disease doesn't just kill you. Weeks of care, the lifelong failure of organ failure, and the damage caused by blood clots and systemic harm will cost us all.","May 14, 2020",105
8,Nurses Who Vaccinate,"12,752 Page Likes","To recover from this pandemic, we need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents. We need to do it quickly, with all the creativity and urgency of the scientists who are developing the vaccine itself. Millions of lives and trillions of dollars in economic activity may depend not just on producing a vaccine, but on persuading people to accept it.","May 13, 2020",100
9,Center for Inquiry,"56,885 Page Likes",,"May 13, 2020",84
10,Collective Action Against Bill...,"79,450 Members","""**The anti-vaccine community is more organized and strategic than many of its critics believe**"" - Bill Diodato/Corbis [https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html](https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html)","May 14, 2020",53
11,For the Greater Glory of Scien...,"85,583 Page Likes",,"May 14, 2020",49
12,Kristian Claus,"11,649 Page Likes",Anti-vaxxers have gotten so effective at pushing misinformation that scientists are now concerned when a Covid-19 vaccine does come out many will simply refuse to take it.,"May 13, 2020",48
13,LIVE UPDATE Coronavirus covid-...,"7,840 Members",Get ready for the antivaxers and pray we actually do develop a vaccine.,"May 13, 2020",47
