,Page,Members,Message,Date,Interactions
0,Kevin Roose,"88,102 Followers","Wrote about a morbid thought I've been having lately, watching the spread of anti-vaxx propaganda like Plandemic. What if we develop a successful Covid-19 vaccine and a huge chunk of the population just...refuses to take it? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",4982
1,Sacha Baron Cohen,"364,986 Followers",This is terrifying. What if millions of people refuse a vaccine for coronavirus because of lies they’ve seen on social media? It’s time to hold Facebook and YouTube liable for the content they spread and the deaths they facilitate! https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",2031
2,Charlie Sykes,"208,683 Followers","""What if we get a Covid-19 vaccine and half the country refuses to take it?"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 14, 2020",700
3,André Picard,"107,420 Followers","Get Ready for a Vaccine Information War: Social media is already filling up with misinformation about a #Covid19 vaccine, months or years before one even exists, by @kevinroose https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share via @nytimes #antivax #vaccination","May 13, 2020",335
4,León Krauze,"1,450,834 Followers",Los criminales anti-vacunas ya comenzaron su esfuerzo de desinformación contra una vacuna para el Covid...vacuna que aún no existe!!!! Es increíble. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=nytcore-ios-share via @NYTimes,"May 13, 2020",296
5,EileenIorio,"9,104 Followers","What these journalists never ask is, what is the motivation? ""Antivaxxers"" are mostly parents who have seen their child suffer a vax reaction even death. The motivation is safety and basic human rights Vs Pharma -> billions in liability-free profits🤷‍♀️ https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",191
6,ᴏɢᴀ ᴍᴇɴᴅᴏɴᴄᴀ,"9,733 Followers",Matériazinha pra gente perder a fé na humanidade. Se é que vc ainda tem alguma... https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",106
7,Matt Haig,"406,879 Followers",Scary. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",97
8,Taylor Lorenz,"141,025 Followers",Absolutely essential reading from @kevinroose https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",93
9,Mark Little,"80,341 Followers","“We need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents” https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",86
