,Page,Members,Message,Date,Interactions,hrefs
0,Richard Dawkins,"667,741 Page Likes","Freedom to know nothing, understand nothing, form your own unsubstantiated opinion and massively harm the society around you.","May 14, 2020",5307,https://www.facebook.com/RichardDawkinsBooks/posts/2710501942508127
1,COVID19: Real Talk from Health...,"111,619 Members",https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",811,https://www.facebook.com/groups/1073058046385811/permalink/1126748731016742
2,Nature News and Comment,"454,097 Page Likes",Studies of social networks show that opposition to vaccines is small but far-reaching — and growing.,"May 13, 2020",686,https://www.facebook.com/NatureNews/posts/3765672206836594
3,Nature News and Comment,"454,207 Page Likes","Groups opposing vaccines are small in size, but their online-communications strategy is worryingly effective and far-reaching.","May 16, 2020",620,https://www.facebook.com/NatureNews/posts/3778462975557517
4,GRUPO PARA EXPLICAR COM TRANQU...,"74,065 Members","**Movimento anti-vacina pode prejudicar os esforços para acabar com a pandemia de coronavírus**, alertam pesquisadores **Estudos de redes sociais mostram que a oposição às vacinas é pequena, mas abrangente - e crescente**.","May 13, 2020",478,https://www.facebook.com/groups/673782030095451/permalink/717956769011310
5,Science TALK,"33,665 Members",https://www.nature.com/articles/d41586-020-01423-4?utm_source=Nature+Briefing&utm_campaign=345b3c27fe-briefing-dy-20200514&utm_medium=email&utm_term=0_c9dfd39373-345b3c27fe-44510205,"May 14, 2020",414,https://www.facebook.com/groups/2039051576324801/permalink/2692635900966362
6,Skeptical Inquirer,"153,575 Page Likes","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn Studies of social networks show that opposition to vaccines is small but far-reaching — and growing.","May 14, 2020",401,https://www.facebook.com/skepticalinquirer/posts/10157128632592621
7,Mr.C,"189,678 Page Likes",Very alarming article about a SARS-CoV-2 vaccine. https://www.nature.com/articles/d41586-020-01423-4:=:https://www.nature.com/articles/d41586-020-01423-4?error=cookies_not_supported&code=3c0f966c-e882-4c99-ab7c-ed19d08454f9,"May 14, 2020",334,https://www.facebook.com/mrcsuperfreq/posts/10156942816117687
8,The Coronavirus Page,"12,930 Page Likes",“Studies of social networks show that opposition to vaccines is small but far-reaching — and growing.”,"May 16, 2020",242,https://www.facebook.com/covidpage/posts/138215877821271
9,UAAR Unione degli Atei e degli...,"150,629 Page Likes","Nell'epidemia di coronavirus soprattutto negli Usa stanno prendendo forza movimenti ""anti-establishment"" che diffondono teorie complottiste sulla pandemia (talvolta fino a negarla) e sui mezzi scientifici per affrontarla. Questa influenza, soprattutto sui social, rischia di rendere più difficile il contrasto alla pandemia: https://www.nature.com/articles/d41586-020-01423-4:=:https://www.nature.com/articles/d41586-020-01423-4?error=cookies_not_supported&code=8db052f5-2bfd-4121-939c-cea34106dc28","May 15, 2020",133,https://www.facebook.com/UAAR.it/posts/10158067924622092
