,Page,Members,Message,Date,Interactions,hrefs
0,久住英二（くすみえいじ）,"26,760 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4 反ワクチン運動が、新コロ流行を終息させようとする努力を台無しにする。 日本は反ワクチン運動のメッカ。HPVワクチン接種がこんなに止まっている先進国はない。","May 14, 2020",91,https://twitter.com/KusumiEiji/status/1260831725229232128
1,Yonatan Lupu,"1,307 Followers","I am fortunate to be part of a GW-based research team studying online extremism and other fringe groups. Today, Nature published our study of the vaccination discussion on Facebook. Here’s the coverage at Nature News, and below a link to the study. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",65,https://twitter.com/yonatanlupu/status/1260592625364668416
2,astropierre,"31,787 Followers","Dans l'espace numérique, les groupes anti-vaccins sont de petite taille mais nombreux. Leur stratégie de communication reste toutefois d'une efficacité et d'une portée inquiétantes. Une analyse de cet écosystème numérique : https://www.nature.com/articles/d41586-020-01423-4 https://t.co/7jTvdp4W05","May 16, 2020",59,https://twitter.com/astropierre/status/1261573255971966976
3,Philip Ball,"12,009 Followers","The topography of the antivax landscape, and why it's worrying. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",52,https://twitter.com/philipcball/status/1260612991147532290
4,うさぎ林檎＠ししょー,"2,797 Followers",食品安全情報blog2「論文：反ワクチン運動はコロナウイルスパンデミックを終わらせようとする努力を台無しにする可能性がある、研究者が警告」https://uneyama.hatenablog.com/entry/2020/05/14/180351 ”https://www.nature.com/articles/d41586-020-01423-4 ソーシャルネットワークの研究がワクチン反対者は小さいが広く届いて増殖していることを示す”⇒,"May 14, 2020",45,https://twitter.com/usg_ringo/status/1260948058050752516
5,Max Planck Society,"153,351 Followers","""Anti-vaccination messages are spread across many more Facebook clusters than ...those from the larger pro-#vaccine groups"": study warns that anti-vaccine movement online communications strategy is worryingly effective & far-reaching https://www.nature.com/articles/d41586-020-01423-4 @NatureNews #COVID19","May 15, 2020",38,https://twitter.com/maxplanckpress/status/1261198743669542912
6,Círculo Escéptico,"28,140 Followers","Los movimientos antivacunas podrían prolongar la pandemia del coronavírus, advierten los expertos. 😡 Via ⁦@xavigranda⁩ https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",33,https://twitter.com/cescept/status/1261002187901198336
7,Federico Kukso,"30,751 Followers","El movimiento antivacunas podría socavar los esfuerzos para poner fin a la pandemia de coronavirus, advierten investigadores https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",32,https://twitter.com/fedkukso/status/1260619496039092226
8,"Dr. Monica Malta, PhD 🦠","6,173 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn “As scientists work to create a vaccine against #Covid_19, a small but fervent anti-vaccination movement is marshalling against it” ⁦@nature⁩ ⁦@ghn_news https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",21,https://twitter.com/MonicaMalta7/status/1261634818070241280
9,Amy Maxmen,"16,391 Followers","A new study finds that anti-vaccine groups do a better job at disseminating (mis)information. Informative posts on vaccines are ""largely disconnected from the “main battlefield” for public sentiment."" By @philipcball https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",17,https://twitter.com/amymaxmen/status/1261077243134005248
10,Karl Urban,"2,230 Followers",Warum Impfgegner derzeit Auftrieb haben: Sie verhalten sich auf Facebook ganz anders als Impfbefürworter und haben so einen großen Vorteil. Mein Beitrag heute bei @Dlf_Forschung https://ondemand-mp3.dradio.de/file/dradio/2020/05/14/soziale_netzwerke_impfgegner_werden_erfolgreicher_dlf_20200514_0952_d73fb5a5.mp3 (mp3) Die dazugehörige Studie gibts hier: https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",17,https://twitter.com/pikarl/status/1260911880580841472
11,John Charpentier,726 Followers,"Language matters. It's not a ""movement"", it's a political cult. They aren't ""anti-vaccine activists"", they're science deniers. https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",15,https://twitter.com/snpsandsnRNPs/status/1260917159494070273
12,Salud juntos,"9,020 Followers",Los investigadores advierten que el movimiento antivacunas podría socavar los esfuerzos para poner fin a la pandemia de coronavirus. Estudios de las redes sociales muestran que la oposición a las vacunas es pequeña pero de gran alcance y creciente. https://www.nature.com/articles/d41586-020-01423-4,"May 15, 2020",14,https://twitter.com/alfonso_casi/status/1261208618524950528
13,Nsikan Akpan,"7,537 Followers","""As scientists work to create a vaccine against COVID-19, a small but fervent anti-vaccination movement is marshalling against it."" https://www.nature.com/articles/d41586-020-01423-4 by @philipcball","May 14, 2020",13,https://twitter.com/MoNscience/status/1260928782464159744
14,Evan Kirstel #Staysafe #MasksF...,"287,519 Followers","Anti-vaccine movement could prolong coronavirus pandemic, researchers warn - Nature https://www.nature.com/articles/d41586-020-01423-4","May 15, 2020",11,https://twitter.com/evankirstel/status/1261260042042585088
15,campaign strategy,"2,546 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4 @edgyde @ChrisRapley3131 @CraigBennett3 @AJPendleton @sambrook @normanlamb @mvonlind","May 14, 2020",10,https://twitter.com/campaignstrat/status/1261030798481862665
16,Pócimas de Salud 😷#PonteMasca...,"3,788 Followers","Mientras los científicos trabajan para crear una vacuna contra #COVID19, estudios de las RRSS muestran que la oposición a las #Vacunas es pequeña pero de gran alcance y que está creciendo. Preocupa su efectiva estrategia de comunicación y el gran alcance https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",10,https://twitter.com/AngelesRzvz/status/1260995883035955200
17,UAAR,"10,925 Followers","#Coronavirus, si diffondono movimenti ""anti-establishment"" che diffondono teorie del #complotto, specie negli #Usa. Questa influenza, soprattutto sui social, rischia di rendere più difficile il contrasto alla pandemia: https://www.nature.com/articles/d41586-020-01423-4 https://quillette.com/2020/05/07/covid-19-conspiracists-and-their-discontents/","May 15, 2020",8,https://twitter.com/UAAR_it/status/1261318210269392899
18,Sarah de Rijcke,"2,066 Followers",Studies of social networks show that opposition to vaccines is small but far-reaching — and growing. https://www.nature.com/articles/d41586-020-01423-4 https://t.co/fDTIRo3HWT,"May 14, 2020",8,https://twitter.com/sarahderijcke/status/1261001271428943873
19,Matteo Cesari,"3,110 Followers","As scientists work to create a vaccine against #COVID19, the opposition to #vaccines in social media is small but far-reaching & growing. The #antivaxx movement can undermine efforts to end #COVID19Pandemic Need to be clear: #VaccinesWork! @nature https://www.nature.com/articles/d41586-020-01423-4","May 16, 2020",7,https://twitter.com/macesari/status/1261765245007265800
20,Lula Falcão,"11,511 Followers","Enquanto os cientistas trabalham para criar uma vacina contra o COVID-19, um pequeno mas fervoroso movimento anti-vacinação inventa que as vacinas serão usadas para implantar microchips nas pessoas. Parece coisa de Damares https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",7,https://twitter.com/lulafalcao/status/1260743917596704769
