,Page,Members,Message,Date,Interactions,hrefs
0,Allen Ray 'Rona Ate My Cat,"5,048 Followers","Listen to this @NPR interview and think about all of the ""misinformation"" that turned out to be completely true, and the mainstream media's ""truth"" that turned out to be a blatant lie. This should chill you to the bone.... #WakeUp https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook","May 13, 2020",31,https://twitter.com/2CynicAl65/status/1260686119311728641
1,NPR Science Desk,"248,486 Followers",A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_source=dlvr.it&utm_medium=twitter,"May 13, 2020",11,https://twitter.com/nprscience/status/1260664245517049856
2,All Tech Considered,"36,084 Followers",A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_source=dlvr.it&utm_medium=twitter,"May 13, 2020",5,https://twitter.com/npralltech/status/1260664246481809408
3,René F. Najera,"2,996 Followers",New story on #NPR: A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://ift.tt/2zwtHEu,"May 13, 2020",3,https://twitter.com/EpiRen/status/1260669491555557385
4,greg flynn,"2,760 Followers",A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook : NPR https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook,"May 18, 2020",2,https://twitter.com/gregflynn/status/1262482950446354432
5,Call Paul's Boutique,"2,742 Followers","Essentially, info about origins, treatments, vaccines, yadda... targeting undecided folks who fall into the *Communities of Distrust pile of fringe fuqqs. U may think u hanging in Dog Community, but vaxx w come up in that group. Listen 2 NPR piece. https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook","May 14, 2020",2,https://twitter.com/modernhomesla/status/1260749601126006784
6,Teresa Diaz,882 Followers,A New Study Explores The Spread Of #Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social,"May 15, 2020",1,https://twitter.com/teresa_diaz/status/1261297205509591045
7,Refk SELMI,76 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social,"May 14, 2020",1,https://twitter.com/s_refk/status/1260964593058426882
8,Julie Cantor,816 Followers,@beccalew @womenindisinfo @npratc @politico This is the piece. Reference is article in @nature. https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook,"May 14, 2020",1,https://twitter.com/juliedcantor/status/1260887867590467584
9,Jenny,12 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social,"May 13, 2020",1,https://twitter.com/jsfakenewsguide/status/1260699485652553730
10,The Open Mic Podcast With Bret...,220 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook http://dlvr.it/RWbTCq,"May 13, 2020",1,https://twitter.com/brettsopenmic/status/1260671546114273281
11,CMSnice,251 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook - https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_medium=RSS&utm_campaign=researchnews,"May 19, 2020",0,https://twitter.com/cmsnice_com/status/1262533437048737792
12,Disabled Senior,"1,279 Followers",A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook - https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_medium=RSS&utm_campaign=researchnews,"May 18, 2020",0,https://twitter.com/disabledsenior/status/1262417670198177792
13,FCB Roadster,187 Followers,New story on NPR: A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://ift.tt/2WtfeSJ https://t.co/8G0pc6okSl,"May 18, 2020",0,https://twitter.com/Aphisarid_F/status/1262290199595417600
14,botiiq,"3,253 Followers",A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook - https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_medium=RSS&utm_campaign=researchnews,"May 17, 2020",0,https://twitter.com/_botiiq/status/1262163496155971586
15,Disabled Senior,"1,279 Followers",A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook - https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_medium=RSS&utm_campaign=researchnews,"May 17, 2020",0,https://twitter.com/disabledsenior/status/1262040181261115398
16,Debra M. Fezza Reed #MasksSave...,"1,483 Followers","New Technology story on NPR: A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook NPR's Ailsa Chang talks with Neil Johnson, a professor of physics at George Washington University, about his study on the spread of scientific mi… https://ift.tt/2WtfeSJ","May 17, 2020",0,https://twitter.com/SecRiskRptSME/status/1261918474022068224
17,botiiq,"3,253 Followers",A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook - https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_medium=RSS&utm_campaign=researchnews,"May 17, 2020",0,https://twitter.com/_botiiq/status/1261808657169362944
18,Respect Others: Wear a Mask!!!,132 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social,"May 16, 2020",0,https://twitter.com/BobWhite22/status/1261465487684198401
19,Tech News,370 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_medium=RSS&utm_campaign=technology,"May 15, 2020",0,https://twitter.com/Techn_News/status/1261370790613643264
20,⭐️Friends⭐️M5S⭐️,"50,639 Followers","@upanizza Here you go, prof https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook","May 15, 2020",0,https://twitter.com/MPenikas/status/1261368810491150336
21,D.X,25 Followers,A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook,"May 15, 2020",0,https://twitter.com/DevilXu/status/1261350235609194501
22,Disabled Senior,"1,279 Followers",A New Study Explores The Spread Of Misinformation About Coronavirus On Facebook - https://www.npr.org/2020/05/13/855611088/a-new-study-explores-the-spread-of-misinformation-about-coronavirus-on-facebook?utm_medium=RSS&utm_campaign=researchnews,"May 15, 2020",0,https://twitter.com/disabledsenior/status/1261330510648836096
