,Page,Members,Message,Date,Interactions,hrefs
0,The New York Times,"17,252,652 Page Likes","Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. ""The anti-vaxxers have been practicing for this,"" writes Kevin Roose. ""And I’m worried that they will be unusually effective.""","May 13, 2020",5678,https://www.facebook.com/nytimes/posts/10152318458949999
1,Dr. Richard Pan,"14,634 Page Likes","""[Anti-vaxxers] are savvy media manipulators, effective communicators and experienced at exploiting the weaknesses of social media platforms.... public acceptance of a #Covid19 vaccine is far from a sure thing. And seeing platforms like Facebook and YouTube struggle to contain the spread of videos like 'Plandemic' makes me worry that when the time comes to persuade billions of people to take a critical coronavirus vaccine, our public health officials and social media companies will be outgunned by a well-oiled anti-vaccine movement that has already polluted the air with misinformation and conspiracy theories. We can prevent that, but only if we start laying the groundwork before it’s too late."" #coronavirus #pandemic #Science #VaccinesWork #Ivax2protect #Resist #AlternativeFacts Vaccinate California Vaccinate Your Family Voices for Vaccines California Immunization Coalitionzation","May 13, 2020",2680,https://www.facebook.com/RichardPanMD/posts/10157614467920674
2,Richard Dawkins Foundation for...,"1,495,195 Page Likes","""What if we get a Covid-19 vaccine and half the country refuses to take it?""","May 14, 2020",2039,https://www.facebook.com/RichardDawkinsFoundation/posts/10158101943120155
3,MoveOn,"1,654,167 Page Likes",A strange conflux of anti-vaxxers and reactionary conspiracy theorists is already spreading baseless lies about a COVID19 vaccine — more than a year before we can even expect one.,"May 14, 2020",1922,https://www.facebook.com/moveon/posts/10157369300740493
4,We Love GMOs and Vaccines,"231,038 Page Likes",We’ve been warning about this for 6 years...,"May 13, 2020",876,https://www.facebook.com/welovegv/posts/2624187397851299
5,Kissing Fish Book,"312,872 Page Likes","“Anti-vaxers have already fueled a resurgence in once-eradicated or diminished disease across the world. Now they stand ready to build resistance against a developing vaccine against COVID-19, even as the global pandemic has caused nearly 297,000 deaths so far.“","May 14, 2020",486,https://www.facebook.com/KissingFishBook/posts/3480874585275254
6,Global Conversations,"333,668 Page Likes",Anti-Vaxx activists are already railing against a possible Covid-19 vaccine. Conspiracies flood internet.,"May 13, 2020",380,https://www.facebook.com/GSHMP/posts/4447573758601350
7,Skeptical Inquirer,"153,579 Page Likes","The other night, midway through watching a clip from “Plandemic” — a documentary that went viral on social media last week, spreading baseless lies and debunked nonsense about the coronavirus to millions of Americans overnight — I had a terrifying thought: What if we get a Covid-19 vaccine and half the country refuses to take it?","May 15, 2020",208,https://www.facebook.com/skepticalinquirer/posts/10157130774597621
8,Nauka,"8,779 Members","Da li će posle užasne kampanje milion odbiti da prime vakcinu kada jednom bude napravljena? Da li nam sledi ""vakcinaški rat""? Da li su antivakcinaši bolje pripremlljeni za to s obzirom da su vakcinaški pokreti aktivni uglavnom u zatvorenim grupama? Da li je vreme da SZO i naučna zajednica promene strategiju u borbi za ""hearts and minds"" neopredeljenih? Da li su Facebook i YouTube više pomogli ili odmogli u celoj priči? ","May 14, 2020",147,https://www.facebook.com/groups/117202582284906/permalink/529623751042785
9,Stop à la propagande anti-vacc...,"5,657 Page Likes","✒️ Auteur : Kevin Roose Préparez-vous à une guerre d'information sur les vaccins Les médias sociaux sont déjà remplis de fausses informations sur un vaccin Covid-19, des mois ou des années avant même qu'il n'existe. L'autre soir, en regardant un extrait de ""Plandemic"" - un documentaire qui s'est propagé sur les médias sociaux la semaine dernière, répandant du jour au lendemain des mensonges sans fondement et des absurdités démystifiées sur le coronavirus à des millions d'Américains - j'ai eu une pensée terrifiante : - Et si nous obtenions un vaccin Covid-19 et que la moitié du pays refusait de le prendre ? Il m'est apparu que toute la désinformation que nous avons vue jusqu'à présent - les fausses rumeurs selon lesquelles les tours de téléphonie cellulaire 5G alimentent le coronavirus, que boire de l'eau de Javel ou injecter des rayons UV peut le guérir, que le Dr Anthony Fauci fait partie d'une conspiration anti-Trump - n'est peut-être que le prélude à une guerre de l'information beaucoup plus vaste lorsqu'un vaccin efficace sera mis à la disposition du public. Cette guerre pourrait opposer les responsables de la santé publique et les politiciens à un mouvement anti-vaccination qui inonde les médias sociaux de désinformation, de théories conspirationnistes et de propagande visant à convaincre les gens que le vaccin est une menace plutôt qu'un bienfait permettant de sauver des vies et l'économie. Le plus effrayant de tout ? cela pourrait, en fait, fonctionner. J'ai suivi la communauté anti-vaccins, de près et de loin, pendant des années, en observant ses membres opérer dans des groupes privés sur Facebook et des comptes Instagram, et j'ai découvert qu'ils sont beaucoup plus organisés et stratégiques que ne le croient nombre de leurs détracteurs. Ce sont des manipulateurs, de médias, avisés, des communicateurs efficaces et expérimentés dans l'exploitation des faiblesses des plateformes de médias sociaux. (Juste un exemple : Peu après que Facebook et YouTube ont commencé à retirer des copies de ""Plandemic"" pour avoir violé leurs règles, j'ai vu des gens dans des groupes anti-vaccins l'éditer de manière subtile pour échapper au logiciel d'application automatique des plateformes et le rediffuser). En bref, les anti-vaccins se sont entraînés pour cette guerre. Et je crains qu'ils ne soient exceptionnellement efficaces pour semer le doute sur un vaccin Covid-19, et ce, pour plusieurs raisons. Premièrement, en raison de l'urgence de la pandémie, tout vaccin Covid-19 prometteur sera probablement soumis à un processus d'essai et d'approbation accéléré. Il pourrait ne pas passer par des années d'essais cliniques et d'études approfondies des éventuels effets secondaires à long terme, comme c'est le cas pour d'autres médicaments. Cela pourrait permettre aux militants anti-vaccins de prétendre que le vaccin n'a pas été testé et qu'il est dangereux, et de transformer des inquiétudes raisonnables, au sujet du vaccin, en craintes généralisées et infondées quant à sa sécurité. Deuxièmement, si un vaccin apparaît, il y a de fortes chances que des organisations de santé de premier plan comme la Fondation Bill et Melinda Gates ou l'Organisation mondiale de la santé participent à sa production ou à sa distribution. Si tel est le cas, les militants anti-vaccins, qui mènent une croisade contre ces organisations, depuis des années, disposeront d'un stock important d'arguments pour tenter de les discréditer. Ils s'en prennent déjà à Bill Gates avec des théories complotistes, sans fondement, prétendant qu'il a créé le virus et qu'il essaie d'en tirer profit. Ces théories seront amplifiées, et les tentatives de discréditer les efforts de recherche de pointe sur le virus s'intensifieront à mesure que le vaccin se rapprochera. Troisièmement, si, et quand, un vaccin Covid-19 sera approuvé pour une utilisation généralisée, les gens pourront être obligés de le prendre avant d'être autorisés à prendre l'avion sur certaines compagnies aériennes, à fréquenter certaines écoles ou à entrer dans certaines entreprises. C'est une bonne idée, du point de vue de la santé publique, mais cela pourrait alimenter certaines des pires craintes du mouvement anti-vaccin. La vaccination obligatoire a été un sujet de discussion particulièrement important pour les militants anti-vaccins, dont certains se sont présentés comme ""pro-choix"" en matière de vaccins. Des années de lutte entre les États et les districts scolaires au sujet des politiques de vaccination obligatoire leur ont permis de créer un enchevêtrement d'obstacles juridiques et de campagnes publicitaires préjudiciables. Je voulais savoir si mes craintes concernant une guerre de l'information sur les vaccins étaient fondées, et j'ai donc contacté Neil Johnson et Rhys Leahy, deux chercheurs de l'université George Washington. Mercredi, leur étude sur (truncated)","May 14, 2020",146,https://www.facebook.com/StopAntivax/posts/1159130984444974
