,Page,Members,Message,Date,Interactions,hrefs
0,Sacha Baron Cohen,"365,277 Followers",This is terrifying. What if millions of people refuse a vaccine for coronavirus because of lies they’ve seen on social media? It’s time to hold Facebook and YouTube liable for the content they spread and the deaths they facilitate! https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",7233,https://twitter.com/SachaBaronCohen/status/1260964311608025089
1,Kevin Roose,"88,369 Followers","Wrote about a morbid thought I've been having lately, watching the spread of anti-vaxx propaganda like Plandemic. What if we develop a successful Covid-19 vaccine and a huge chunk of the population just...refuses to take it? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",5137,https://twitter.com/kevinroose/status/1260588422890008577
2,Charlie Sykes,"209,464 Followers","""What if we get a Covid-19 vaccine and half the country refuses to take it?"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 14, 2020",1001,https://twitter.com/SykesCharlie/status/1260921684359602176
3,EileenIorio,"9,400 Followers","What these journalists never ask is, what is the motivation? ""Antivaxxers"" are mostly parents who have seen their child suffer a vax reaction even death. The motivation is safety and basic human rights Vs Pharma -> billions in liability-free profits🤷‍♀️ https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",466,https://twitter.com/eileeniorio/status/1260915664757424128
4,André Picard,"107,661 Followers","Get Ready for a Vaccine Information War: Social media is already filling up with misinformation about a #Covid19 vaccine, months or years before one even exists, by @kevinroose https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share via @nytimes #antivax #vaccination","May 13, 2020",352,https://twitter.com/picardonhealth/status/1260588083898134536
5,León Krauze,"1,451,387 Followers",Los criminales anti-vacunas ya comenzaron su esfuerzo de desinformación contra una vacuna para el Covid...vacuna que aún no existe!!!! Es increíble. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=nytcore-ios-share via @NYTimes,"May 13, 2020",302,https://twitter.com/LeonKrauze/status/1260622925989724160
6,Azra,"1,784 Followers","NY Times piece warns that anti-vax groups could ""flood social media with misinfo, conspiracy theories & propaganda aimed at convincing people that the vaccine is a menace rather than 𝗮 𝗹𝗶𝗳𝗲𝘀𝗮𝘃𝗶𝗻𝗴, 𝗲𝗰𝗼𝗻𝗼𝗺𝘆-𝗿𝗲𝘀𝗰𝘂𝗶𝗻𝗴 𝗺𝗶𝗿𝗮𝗰𝗹𝗲."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 16, 2020",257,https://twitter.com/PeaceOnEarth222/status/1261803110328160259
7,Q Research Notables,"40,992 Followers",The New York Times publishes an article expressing concern that half of Americans might refuse to take a coronavirus vaccine. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 15, 2020",188,https://twitter.com/QAnonNotables/status/1261109622212943873
8,Dr. Brian Goldman,"58,483 Followers","Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share To recover from this pandemic, we need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents.","May 15, 2020",148,https://twitter.com/NightShiftMD/status/1261085886600695808
9,Matt Galloway,"83,170 Followers","""The anti-vaxxers have been practicing for this."" What if we get a Covid-19 vaccine and half the country refuses to take it? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",136,https://twitter.com/mattgallowaycbc/status/1261080547264258050
10,ᴏɢᴀ ᴍᴇɴᴅᴏɴᴄᴀ,"9,802 Followers",Matériazinha pra gente perder a fé na humanidade. Se é que vc ainda tem alguma... https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",108,https://twitter.com/OgaMendonca/status/1260671653329207311
11,Matt Haig,"408,458 Followers",Scary. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",102,https://twitter.com/matthaig1/status/1260689025012293635
12,Taylor Lorenz,"141,551 Followers",Absolutely essential reading from @kevinroose https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",93,https://twitter.com/TaylorLorenz/status/1260588403285991424
13,Mark Little,"80,411 Followers","“We need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents” https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",89,https://twitter.com/marklittlenews/status/1260656934178353153
14,Peter Grinspoon MD -- idealist...,"17,421 Followers","What if we get a Covid-19 vaccine and half the country refuses to take it? Can we ban them from schools, hospitals, stores, libraries, streets, etc? Can they have their own planet to die on? #medtwitter https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",85,https://twitter.com/Peter_Grinspoon/status/1260621308322361344
15,Day Machado,"1,027 Followers",O texto do NYT resume as minhas principais angústias como pesquisadora em relação a uma vacina contra a Covid-19: - A urgência por uma vacina pode causar pressão pra que etapas de pesquisa importantes sejam eliminadas. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",81,https://twitter.com/dayftmachado/status/1260922467264024576
