,Page,Members,Message,Date,Interactions,hrefs
0,Science,"4,172,430 Page Likes",If only we could inoculate ourselves against misinformation on social media. . . .,"May 14, 2020",4102,https://www.facebook.com/ScienceMagazine/posts/10157797014760589
1,Scientists for EU,"324,274 Page Likes","""A first-of-its-""kind analysis of more than 1300 Facebook pages with nearly 100 million followers has produced a network map that’s alarming public health professionals. Antivaccine pages have fewer followers than pro-vaccine pages but are more numerous, faster growing, and increasingly more connected to undecided pages, the study finds. If the current trends continue, the researchers predict, antivaccine views will dominate online discussion in 10 years—a time when a future vaccine against COVID-19 may be critical to public health. “The reds are winning,” says anthropologist Heidi Larson, who directs the Vaccine Confidence Project at the London School of Hygiene & Tropical Medicine, referring to the color of antivaccine Facebook pages on the new paper’s map. “They are covering a lot more ground with fewer of them.” The online pages are “a battle for hearts and minds, and there was no map of that battlefield at the system level,” says first author Neil Johnson, a data scientist at George Washington University who previously mapped the online behavior of hate groups and the Islamic State group. “We set out to take a look at that. And we were shocked.” ""","May 15, 2020",2887,https://www.facebook.com/scientistsforeu/posts/2520401798061814
2,News from Science,"2,436,465 Page Likes",If only we could inoculate ourselves against misinformation on social media. . . .,"May 13, 2020",2090,https://www.facebook.com/ScienceNOW/posts/10157140487145108
3,AAAS - The American Associatio...,"221,728 Page Likes",If only we could inoculate ourselves against misinformation on social media. . . .,"May 13, 2020",1499,https://www.facebook.com/AAAS.Science/posts/10157289351818097
4,We Love GMOs and Vaccines,"231,042 Page Likes",,"May 14, 2020",945,https://www.facebook.com/welovegv/posts/2624534554483250
5,"Do you even Science, Bro","418,716 Page Likes",Hold the line!,"May 14, 2020",701,https://www.facebook.com/dyesciencebro/posts/1529201703928220
6,"Francesco M. Galassi, MD, Pale...","26,119 Page Likes","Circa due settimane fa, su questa pagina, sottolineavo come l’antivaccinismo non fosse solo ancora vivo, nonostante la lezione della pandemia, ma come, anzi, ne uscisse rafforzato nella sua complessa trama, specialmente sui social media. Ora anche la prestigiosa rivista Science prende in esame questo controverso e preoccupante aspetto, ovviamente con maggiore autorevolezza e peso del sottoscritto e di molti altri commentatori. Buona lettura e mai - ripeto mai - sottovalutare l’antivaccinismo.","May 16, 2020",506,https://www.facebook.com/FMGalassi/posts/870817493398166
7,Sci-gasm Podcast,"88,773 Page Likes",Does anyone else feel like we're casually sliding back into a period of the Dark Ages?,"May 14, 2020",334,https://www.facebook.com/scigasmpodcast/posts/1499175070244458
8,Frank Luntz,"36,344 Page Likes",Facebook page membership • Pro-vaccine pages: 6.9 million • Anti-vaccine pages: 4.2 million,"May 14, 2020",329,https://www.facebook.com/FrankLuntz/posts/10158889902679311
9,Refutations to Anti-Vaccine Me...,"305,365 Page Likes",,"May 14, 2020",296,https://www.facebook.com/RtAVM/posts/3902416386495008
