fb_uid	label_vax	name	category	fan_count	is_unclaimed	verification_status	link	posts.data.created_time	location.city	location.street	location.country	location.longitude	location.latitude	location.located_in	location.state	location.zip	concat.geography	capture_timestamp
103900609664249	Neutral	Gulf Coast Cocker Spaniel Rescue	Nonprofit Organization	9472	FALSE	gray_verified	https://www.facebook.com/GCCSR.Houston/	2019-09-30T20:19:12Z	Houston	NA	United States	-95.55968	29.73112	NA	TX	NA	NA	2019-09-30T23:01:09Z
1279666905454869	Anti Vaxxination	Forgotten Apothecary	Health & Wellness Website	8436	FALSE	not_verified	https://www.facebook.com/ForgottenApothecary/	2019-06-04T18:51:48Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:03:41Z
138768026149413	Pro Vaccination	Michigan Academy of Family Physicians	Nonprofit Organization	873	FALSE	not_verified	https://www.facebook.com/MichiganAcademyofFamilyPhysicians/	2019-09-27T21:21:10Z	Okemos	NA	United States	NA	NA	NA	MI	48864	NA	2019-09-30T23:03:59Z
111587208948940	Anti Vaxxination	Omaha Health Expo	Health/Beauty	1177	FALSE	not_verified	https://www.facebook.com/Omaha-Health-Expo-111587208948940/	2019-09-27T16:01:38Z	Omaha	NA	United States	NA	NA	1609849405964978	NE	NA	NA	2019-09-30T23:23:41Z
137223426319226	Pro Vaccination	RESULTS AU	Nonprofit Organization	1327	FALSE	not_verified	https://www.facebook.com/RESULTSAU/	2019-09-27T05:29:45Z	Sydney	901/100 Walker Street	South Africa	NA	NA	NA	NA	2060	NA	2019-09-30T23:24:22Z
1410720899202393	Pro Vaccination	Sue Desmond-Hellmann	Scientist	64342	FALSE	blue_verified	https://www.facebook.com/suedesmondhellmann/	2019-09-27T02:23:11Z	Seattle	500 5th Avenue N	United States	-122.3464	47.6226	NA	WA	98109	NA	2019-09-30T23:25:03Z
118921584848220	Pro Vaccination	Prévention Santé - Deborah Donnier	Community	23589	FALSE	not_verified	https://www.facebook.com/preventionsante/	2019-09-24T09:06:08Z	Grenoble	NA	France	NA	NA	NA	NA	38000	NA	2019-09-30T23:25:44Z
1409379516001864	Neutral	Pasadena Animal Shelter Cats	Animal Shelter	4907	FALSE	not_verified	https://www.facebook.com/PetsPasadenaTX/	2019-09-30T14:56:42Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:26:25Z
12973650609	Anti Vaxxination	Scared Poopless: The Straight Scoop on Dog Care	Product/Service	335	FALSE	not_verified	https://www.facebook.com/Scared-Poopless-The-Straight-Scoop-on-Dog-Care-12973650609/	2016-12-03T18:14:28Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:27:06Z
556675554371455	Pro Vaccination	รู้ทันไวรัสตับอักเสบบี - B aware	Community	5334	FALSE	not_verified	https://www.facebook.com/รู้ทันไวรัสตับอักเสบบี-B-aware-556675554371455/	2019-07-28T04:27:24Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:27:47Z
1115420255200786	Pro Vaccination	Delaware Chapter, American Academy of Pediatrics	Nonprofit Organization	579	FALSE	not_verified	https://www.facebook.com/DelawareAAP/	2019-09-21T17:48:11Z	Newark	900 Prides Crossing	United States	-75.69062	39.68208	NA	DE	19713	NA	2019-09-30T23:28:28Z
124321594320549	Pro Vaccination	Mom's Choice Awards	Baby Goods/Kids Goods	8980	FALSE	gray_verified	https://www.facebook.com/MomsChoiceAwards/	2019-09-30T17:39:12Z	Chesapeake	NA	United States	-76.23655	36.77366	231944957007202	VA	NA	NA	2019-09-30T23:29:09Z
136118466460196	Pro Vaccination	Meningitis Awareness	Community	3522	FALSE	not_verified	https://www.facebook.com/meningitisawareness/	2019-06-01T23:37:37Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:29:50Z
137166373065838	Pro Vaccination	Asperger's Syndrome Awareness	Public Figure	335398	FALSE	not_verified	https://www.facebook.com/AspergerSyndromeAwareness/	2019-09-30T22:41:15Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:30:31Z
153445341375170	Pro Vaccination	Cervical Cancer Awareness Page - Keep Jade Goody's Legacy Alive	Community	13705	FALSE	not_verified	https://www.facebook.com/Jadegoodyslegacy/	2019-08-29T15:14:10Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:31:12Z
1503450783268061	Pro Vaccination	Freeman's PharmaChoice	Pharmacy / Drugstore	366	FALSE	not_verified	https://www.facebook.com/freemanspharmacy/	2019-08-06T19:42:09Z	Inverness	15786 Central Ave.	Canada	-61.30654	46.22897	NA	NS	B0E 1N0	NA	2019-09-30T23:31:53Z
153839248144489	Pro Vaccination	Asperger Syndrome Awareness Page Help	Community	897	FALSE	not_verified	https://www.facebook.com/AspergerSyndromeAwarenessPage/	2018-07-30T06:23:40Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:32:35Z
160321754052233	Pro Vaccination	Cervical Cancer & HPV Awareness & Support	Cause	10427	FALSE	not_verified	https://www.facebook.com/CervicalCancerHPVSupport/	2017-04-19T06:49:58Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:33:16Z
127165553989732	Pro Vaccination	National Cancer Institute	Medical Research Center	232061	FALSE	blue_verified	https://www.facebook.com/cancer.gov/	2019-09-30T16:43:48Z	Bethesda	National Institutes of Health (NIH) Campus	United States	-77.10448	39.003	NA	MD	20892	NA	2019-09-30T23:33:57Z
127204827370179	Pro Vaccination	Boulder County Public Health	Government Organization	4895	FALSE	not_verified	https://www.facebook.com/bouldercountypublichealth/	2019-09-30T19:30:11Z	Boulder	3450 Broadway St	United States	-105.2809	40.03716	NA	CO	80304	NA	2019-09-30T23:34:38Z
131975016886691	Pro Vaccination	Florida Department of Health (DOH)	Medical & Health	26090	FALSE	gray_verified	https://www.facebook.com/FLDepartmentofHealth/	2019-09-30T19:05:39Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:35:19Z
138192989537134	Pro Vaccination	U.S. Public Health Service Nurses	Government Organization	24372	FALSE	blue_verified	https://www.facebook.com/PHSNursing/	2019-09-27T02:02:33Z	Rockville	NA	United States	-77.15124	39.08166	NA	MD	NA	NA	2019-09-30T23:36:00Z
365057296901372	Pro Vaccination	Stop Whooping Cough Delaware	Medical Company	22	FALSE	not_verified	https://www.facebook.com/Stop-Whooping-Cough-Delaware-365057296901372/	2013-11-12T00:25:23Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:36:41Z
134687123337151	Pro Vaccination	CDC HIV	Government Organization	32910	FALSE	blue_verified	https://www.facebook.com/cdchiv/	2019-09-30T13:19:00Z	Atlanta	NA	United States	-84.32704	33.79858	76625396025	GA	NA	NA	2019-09-30T23:37:22Z
135367683145447	Pro Vaccination	Real Guys Immunize	Nonprofit Organization	766	FALSE	not_verified	https://www.facebook.com/GuysImmunize/	2016-06-15T20:00:00Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:38:03Z
135546413153337	Pro Vaccination	Charis Family Clinic, Edmonds, WA	Doctor	265	FALSE	not_verified	https://www.facebook.com/CharisFamilyClinic/	2019-09-24T23:10:30Z	Edmonds	7631 212th St SW 101A	United States	-122.3418	47.78503	NA	WA	98026	NA	2019-09-30T23:38:44Z
1379266995672068	Pro Vaccination	Married to Medicine Blog	Personal Blog	1375	FALSE	not_verified	https://www.facebook.com/MarriedtoMedicineBlog/	2019-09-10T00:41:57Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:39:25Z
1389437131274642	Pro Vaccination	CEVHAP	Nonprofit Organization	717	FALSE	not_verified	https://www.facebook.com/Cevhap/	2019-08-05T11:38:24Z	Singapore	20 Upper Circular Road #02-10/12 The Riverwalk	Singapore	103.8485	1.28891	NA	Singapore	058416	NA	2019-09-30T23:40:06Z
131079727060527	Pro Vaccination	In Memory of Charles Trevor Copp	Community	269	FALSE	not_verified	https://www.facebook.com/InMemoryOfCharlesTrevorCopp/	2018-09-20T02:02:32Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:40:47Z
101050793275404	Pro Vaccination	MMWR	Government Organization	22614	FALSE	blue_verified	https://www.facebook.com/CDCMMWR/	2019-09-30T19:00:26Z	Atlanta	1600 Clifton Rd NE	United States	-84.32729	33.79863	76625396025	GA	30333	NA	2019-09-30T23:41:28Z
110057142387277	Pro Vaccination	Thomas Jefferson Health District (TJHD)	Medical & Health	575	FALSE	not_verified	https://www.facebook.com/TJHealth/	2019-09-30T22:34:35Z	Charlottesville	Thomas Jefferson Health District Headquarters	United States	-78.50642	38.02626	NA	VA	22903	NA	2019-09-30T23:42:09Z
117587703286	Pro Vaccination	PKIDs	Nonprofit Organization	15388	FALSE	gray_verified	https://www.facebook.com/PKIDsOnline/	2019-09-27T16:34:16Z	Vancouver	NA	United States	-122.5975	45.6591	NA	WA	NA	NA	2019-09-30T23:42:50Z
120379977988523	Pro Vaccination	Suwannee River Area Health Education Center (AHEC)	Nonprofit Organization	1371	FALSE	not_verified	https://www.facebook.com/SRAHEC/	2019-09-24T15:03:13Z	Alachua	NA	United States	-82.50094	29.79487	NA	FL	NA	NA	2019-09-30T23:43:31Z
127223437754	Pro Vaccination	AAP News	Nonprofit Organization	18167	FALSE	gray_verified	https://www.facebook.com/AAPNews/	2019-09-30T14:24:36Z	Itasca	345 Park Blvd.	United States	-88.0207	41.98951	NA	IL	60143	NA	2019-09-30T23:44:12Z
128061380545782	Pro Vaccination	Jefferson County Public Health	Government Organization	1722	FALSE	gray_verified	https://www.facebook.com/jeffcopublichealth/	2019-09-30T20:21:00Z	Lakewood	645 Parfet St	United States	-105.1205	39.72722	NA	CO	80215	NA	2019-09-30T23:44:53Z
141387185908244	Pro Vaccination	Global Health Strategies	Consulting Agency	2633	FALSE	not_verified	https://www.facebook.com/globalhealthstrategies/	2019-09-23T07:54:37Z	New York	38 E 32nd St, Fl 12th	United States	-73.98308	40.74604	NA	NY	10016	NA	2019-09-30T23:45:34Z
111190625560003	Pro Vaccination	Kristina Duda, RN	Health & Wellness Website	588	FALSE	not_verified	https://www.facebook.com/kristinadudarn/	2019-02-28T20:32:54Z	New York	NA	United States	NA	NA	NA	NY	NA	NA	2019-09-30T23:46:15Z
121708567840939	Pro Vaccination	VICNetwork	Nonprofit Organization	245	FALSE	not_verified	https://www.facebook.com/vicnetwork/	2019-09-18T12:42:39Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-09-30T23:46:56Z
136133223077396	Pro Vaccination	Burnet Institute	Nonprofit Organization	24260	FALSE	gray_verified	https://www.facebook.com/burnetinstitute/	2019-09-25T22:29:52Z	Melbourne	85 Commercial Road	Australia	144.9842	-37.846	NA	VIC	3004	NA	2019-09-30T23:47:37Z
